2019-04-26,1
2019-04-27,27
2019-04-28,21
2019-04-29,5
2019-04-30,6
2019-05-02,12
2019-05-03,20
2019-05-04,15
2019-05-05,12
2019-05-06,10
2019-05-07,9
2019-05-08,1
2019-05-09,7
2019-05-10,16
2019-05-11,19
2019-05-12,4
2019-05-13,16
2019-05-14,3
2019-05-15,6
2019-05-16,14
2019-05-17,29
2019-05-18,34
2019-05-19,21
2019-05-20,11
2019-05-21,5
2019-05-22,2
2019-05-23,9
2019-05-24,8
2019-05-25,30
2019-05-26,20
2019-05-27,6
2019-05-31,1
2019-06-01,4
2019-06-02,15
2019-06-03,13
2019-06-05,2
2019-06-06,9
2019-06-07,22
2019-06-08,19
2019-06-09,13
2019-06-11,1
2019-06-13,9
2019-06-14,3
2019-06-15,14
2019-06-16,12
2019-06-17,18
2019-06-18,3
2019-06-19,5
2019-06-20,9
2019-06-21,2
2019-06-22,23
2019-06-23,17
2019-06-24,12
2019-06-27,7
2019-06-28,11
2019-06-29,19
2019-06-30,21
2019-07-01,16
2019-07-05,12
2019-07-06,20
2019-07-07,26
2019-07-08,12
2019-07-09,5
2019-07-10,11
2019-07-11,4
2019-07-12,4
2019-07-13,22
2019-07-14,32
2019-07-15,4
2019-07-17,4
2019-07-18,9
2019-07-19,27
2019-07-20,31
2019-07-21,34
2019-07-22,23
2019-07-23,9
2019-07-24,17
2019-07-25,23
2019-07-26,28
2019-07-27,22
2019-07-28,27
2019-07-29,17
2019-07-30,5
2019-07-31,26
2019-08-01,29
2019-08-02,23
2019-08-03,34
2019-08-04,47
2019-08-05,18
2019-08-06,27
2019-08-07,24
2019-08-08,11
2019-08-09,21
2019-08-10,33
2019-08-11,44
2019-08-12,18
2019-08-13,20
2019-08-14,22
2019-08-15,23
2019-08-16,24
2019-08-17,26
2019-08-18,32
2019-08-19,23
2019-08-20,20
2019-08-21,15
2019-08-22,30
2019-08-23,25
2019-08-24,25
2019-08-25,28
2019-08-26,36
2019-08-27,16
2019-08-28,12
2019-08-29,21
2019-08-30,22
2019-08-31,31
2019-09-01,11
2019-09-02,29
2019-09-03,12
2019-09-04,32
2019-09-05,35
2019-09-06,22
2019-09-07,36
2019-09-08,37
2019-09-09,48
2019-09-10,43
2019-09-11,30
2019-09-12,28
2019-09-13,25
2019-09-14,41
2019-09-15,29
2019-09-16,60
2019-09-17,50
2019-09-18,64
2019-09-19,41
2019-09-20,42
2019-09-21,52
2019-09-22,45
2019-09-23,67
2019-09-24,61
2019-09-25,65
2019-09-26,44
2019-09-27,59
2019-09-28,68
2019-09-29,56
2019-09-30,100
2019-10-01,54
2019-10-02,54
2019-10-03,21
2019-10-04,109
2019-10-05,15
2019-10-06,83
2019-10-07,72
2019-10-08,62
2019-10-09,41
2019-10-10,47
2019-10-11,67
2019-10-12,54
2019-10-13,56
2019-10-14,72
2019-10-15,54
2019-10-16,55
2019-10-17,65
2019-10-18,54
2019-10-19,63
2019-10-20,111
2019-10-21,31
2019-10-22,55
2019-10-23,36
2019-10-24,57
2019-10-25,37
2019-10-26,80
2019-10-27,59
2019-10-28,51
2019-10-29,60
2019-10-30,24
2019-10-31,47
2019-11-01,36
2019-11-02,37
2019-11-03,58
2019-11-04,58
2019-11-05,84
2019-11-06,68
2019-11-07,46
2019-11-08,62
2019-11-09,55
2019-11-10,59
2019-11-11,49
2019-11-12,52
2019-11-13,62
2019-11-14,67
2019-11-15,57
2019-11-16,59
2019-11-17,74
2019-11-18,64
2019-11-19,66
2019-11-20,73
2019-11-21,79
2019-11-22,66
2019-11-23,42
2019-11-24,101
2019-11-25,66
2019-11-26,77
2019-11-27,52
2019-11-28,61
2019-11-29,39
2019-11-30,66
2019-12-01,55
2019-12-02,71
2019-12-03,63
2019-12-04,43
2019-12-05,58
2019-12-06,49
2019-12-07,30
2019-12-08,55
2019-12-09,64
2019-12-10,72
2019-12-11,67
2019-12-12,42
2019-12-13,56
2019-12-14,65
2019-12-15,41
2019-12-16,86
2019-12-17,99
2019-12-18,61
2019-12-19,90
2019-12-20,53
2019-12-21,46
2019-12-22,27
2019-12-23,65
2019-12-24,7
2019-12-25,95
2019-12-26,2
2019-12-27,50
2019-12-28,98
2019-12-29,28
2019-12-30,81
2019-12-31,52
2020-01-01,61
2020-01-02,85
2020-01-03,25
2020-01-04,82
2020-01-05,45
2020-01-06,56
2020-01-07,102
2020-01-08,56
2020-01-09,60
2020-01-10,81
2020-01-11,71
2020-01-12,52
2020-01-13,104
2020-01-14,54
2020-01-15,49
2020-01-16,39
2020-01-17,46
2020-01-18,40
2020-01-19,52
2020-01-20,53
2020-01-21,61
2020-01-22,52
2020-01-23,45
2020-01-24,45
2020-01-25,46
2020-01-26,36
2020-01-27,47
2020-01-28,37
2020-01-29,60
2020-01-30,48
2020-01-31,40
2020-02-01,42
2020-02-02,38
2020-02-03,55
2020-02-04,58
2020-02-05,65
2020-02-06,54
2020-02-07,125
2020-02-08,103
2020-02-09,33
2020-02-10,91
2020-02-11,82
2020-02-12,81
2020-02-13,77
2020-02-14,84
2020-02-15,75
2020-02-16,73
2020-02-17,57
2020-02-18,94
2020-02-19,102
2020-02-20,76
2020-02-21,86
2020-02-22,71
2020-02-23,81
2020-02-24,84
2020-02-25,92
2020-02-26,99
2020-02-27,65
2020-02-28,86
2020-02-29,61
2020-03-01,79
2020-03-02,88
2020-03-03,65
2020-03-04,80
2020-03-05,76
2020-03-06,84
2020-03-07,92
2020-03-08,65
2020-03-09,89
2020-03-10,78
2020-03-11,76
2020-03-12,62
2020-03-13,67
2020-03-14,59
2020-03-15,63
2020-03-16,83
2020-03-17,57
2020-03-18,70
2020-03-19,45
2020-03-20,44
2020-03-21,16
2020-03-22,31
2020-03-23,44
2020-03-24,18
2020-03-25,15
2020-03-26,15
2020-03-27,18
2020-03-28,19
2020-03-29,12
2020-03-30,16
2020-03-31,18
2020-04-01,21
2020-04-02,30
2020-04-03,24
2020-04-04,14
2020-04-05,14
2020-04-06,30
2020-04-07,15
2020-04-08,32
2020-04-09,14
2020-04-10,15
2020-04-11,28
2020-04-12,23
2020-04-13,8
2020-04-14,13
2020-04-15,22
